,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Ushuaia,-54.8,-68.3,39.2,60,40,21.92,AR
1,Thompson,55.74,-97.86,42.8,38,40,16.11,CA
2,Bredasdorp,-34.53,20.04,51.8,87,16,5.82,ZA
3,Sitka,57.05,-135.33,57.2,67,1,4.7,US
4,Leningradskiy,69.38,178.42,37.02,91,100,15.26,RU
5,Lompoc,34.64,-120.46,75.99,68,1,16.11,US
6,Saldanha,-33.01,17.94,55.4,87,46,2.24,ZA
7,Vaini,-21.2,-175.2,75.2,64,75,13.87,TO
8,Clyde River,70.47,-68.59,32.0,92,20,5.82,CA
9,Atuona,-9.8,-139.03,78.44,74,0,19.82,PF
10,Busselton,-33.65,115.33,50.0,66,0,10.42,AU
11,Meulaboh,4.14,96.13,75.54,90,31,4.45,ID
12,Kaitangata,-46.28,169.85,52.07,72,100,15.82,NZ
13,Hithadhoo,-0.6,73.08,82.33,76,75,12.44,MV
14,Ancud,-41.87,-73.82,51.17,95,100,24.81,CL
15,Qaanaaq,77.48,-69.36,16.81,77,0,4.63,GL
16,Grindavik,63.84,-22.43,48.2,100,75,13.87,IS
17,Cape Town,-33.93,18.42,54.0,93,40,5.82,ZA
18,Port Elizabeth,-33.92,25.57,57.2,76,3,14.99,ZA
19,Codrington,-38.27,141.97,51.8,93,100,12.75,AU
20,Carlsbad,33.16,-117.35,93.0,54,1,10.29,US
21,Havre-St-Pierre,50.23,-63.6,50.0,93,90,9.17,CA
22,Jamestown,42.1,-79.24,69.01,68,1,8.05,US
23,Tasiilaq,65.61,-37.64,39.2,94,100,10.29,GL
24,Upernavik,72.79,-56.15,30.92,88,100,4.63,GL
25,Punta Arenas,-53.15,-70.92,39.2,86,75,12.75,CL
26,Cabo San Lucas,22.89,-109.91,90.0,58,20,9.17,MX
27,Arraial do Cabo,-22.97,-42.03,73.4,78,43,12.75,BR
28,Saint-Philippe,-21.36,55.77,64.4,63,38,3.36,RE
29,Hermanus,-34.42,19.23,52.0,95,13,7.72,ZA
